label,all_image_count,training_image_count
C34H65O9P|+Cl,1,1
C34H66O4|-H,2,2
C34H67N2O6P|+Cl,1,1
C34H67NO3|+Cl,2,2
C34H67O7P|-H,1,1
C34H68NO6P|-H,1,1
C35H49NO7|-H,1,1
C35H56O16P2|+Cl,1,1
C35H58O16P2|+Cl,3,3
C35H60O16P2|+Cl,2,2
C35H66O6|-H,1,1
C35H69O8P|+Cl,1,1
C35H69O8P|-H,1,1
C36H57O13P|+Cl,1,1
C36H62N4|-H,1,1
C36H64O4|-H,1,1
C36H66O4|-H,1,1
C36H68O4|-H,2,2
C36H70O4|-H,2,2
C36H71O7P|-H,1,1
C37H36N2O11|-H,1,1
C37H50O8|-H,1,1
C37H63O7P|+Cl,1,1
C37H68O5|+Cl,2,2
C37H68O6|-H,2,2
C37H69O7P|-H,2,2
C37H70O5|+Cl,2,2
C37H70O6|+Cl,1,1
C37H70O6|-H,2,2
C37H71O8P|-H,1,1
C38H40N2O9|+Cl,2,2
C38H66O4|-H,2,2
C38H67O8P|-H,1,1
C38H70O4|-H,2,2
C38H71NO13|-H,1,1
C38H75O10P|-H,3,3
C38H75O10P|[M]-,1,1
C38H75O7P|-H,1,1
C39H68O5|+Cl,2,2
C39H69O8P|-H,2,2
C39H70O5|+Cl,2,2
C39H70O6|-H,1,1
C39H71O8P|-H,1,1
C39H72O5|+Cl,2,2
C39H73O8P|-H,1,1
C39H74NO8P|-H,4,4
C39H74O6|+Cl,1,1
C39H74O6|-H,2,2
C39H75O13P|[M]-,1,1
C39H75O8P|-H,1,1
C39H76NO7P|-H,3,3
C39H76NO8P|-H,3,3
C39H78NO8P|-H,8,7
C3H8O10P2|+Cl,1,1
C3H8O10P2|-H,1,1
C40H62O4|-H,1,1
C40H70NO8P|[M]-,1,1
C40H73N2O7P|-H,5,4
C40H75O10P|[M]-,2,2
C40H76NO10P|-H,1,1
C40H77NO11S|-H,2,2
C40H77NO8|+Cl,2,2
C40H77O10P|-H,5,5
C40H78O5|+Cl,1,1
C40H79O10P|[M]-,1,1
C40H79O7P|-H,1,1
C40H79O8P|[M]-,1,1
C41H69O8P|-H,1,1
C41H71NO4|+Cl,1,1
C41H73NO9|-H,3,2
C41H73O8P|-H,10,7
C41H74NO7P|+Cl,2,2
C41H74NO7P|-H,4,4
C41H74NO8P|+Cl,2,2
C41H74NO8P|-H,6,6
