variant,order,method,source_id,kind,sphere_a,sphere_b
m1-head,1,permutation_label_invariant,406,view,0.9439308647130551,-0.33014318506076074
m1-head,1,permutation_label_invariant,539,view,0.9695430063343334,-0.24492112785176895
m1-head,1,permutation_label_invariant,436,view,0.9915453792140266,-0.12976039827047392
m1-head,1,permutation_label_invariant,453,view,0.883448797017489,-0.46852771854859493
m1-head,1,permutation_label_invariant,406,view,0.9478273364903578,-0.3187841592701779
m1-head,1,permutation_label_invariant,539,view,0.9704759363469069,-0.2411979622044809
m1-head,1,permutation_label_invariant,436,view,0.9923373989932229,-0.12355762444853303
m1-head,1,permutation_label_invariant,453,view,0.8842039116271998,-0.4671011053970636
m1-head,1,permutation_label_invariant,406,view,0.9330907348485964,-0.3596410440143145
m1-head,1,permutation_label_invariant,539,view,0.9784924443581383,-0.20628266125400732
m1-head,1,permutation_label_invariant,436,view,0.9923304507272099,-0.12361341577487464
m1-head,1,permutation_label_invariant,453,view,0.9013425424403246,-0.4331069396664192
m1-head,1,permutation_label_invariant,406,view,0.9357118270093878,-0.3527653282208347
m1-head,1,permutation_label_invariant,539,view,0.9694328316906142,-0.24535685203457655
m1-head,1,permutation_label_invariant,436,view,0.9930626438281883,-0.11758650191653927
m1-head,1,permutation_label_invariant,453,view,0.8840725472592279,-0.46734968833046187
m1-head,1,permutation_label_invariant,406,view,0.9396109161151208,-0.34224454169102986
m1-head,1,permutation_label_invariant,539,view,0.9713324463937583,-0.23772521654783785
m1-head,1,permutation_label_invariant,436,view,0.9923095665607111,-0.12378095213761034
m1-head,1,permutation_label_invariant,453,view,0.8843055222283214,-0.4669087098743129
m1-head,1,permutation_label_invariant,406,view,0.9353389175344441,-0.3537528930560064
m1-head,1,permutation_label_invariant,539,view,0.9316537939813918,-0.3633472280891628
m1-head,1,permutation_label_invariant,436,view,0.992174993758957,-0.12485504298751134
m1-head,1,permutation_label_invariant,453,view,0.8870316055869076,-0.4617087076175976
m1-head,1,permutation_label_invariant,406,view,0.9182228428021707,-0.396064150051857
m1-head,1,permutation_label_invariant,539,view,0.9700026151206986,-0.24309448093078087
m1-head,1,permutation_label_invariant,436,view,0.9942181056280746,-0.1073795066170574
m1-head,1,permutation_label_invariant,453,view,0.8864877649664732,-0.46275203139991394
m1-head,1,permutation_label_invariant,406,view,0.9354505279561138,-0.3534576491556347
m1-head,1,permutation_label_invariant,539,view,0.9697348603651911,-0.24416039931263042
m1-head,1,permutation_label_invariant,436,view,0.9923804861280077,-0.12321108210034877
m1-head,1,permutation_label_invariant,453,view,0.8905616090265948,-0.45486263918677955
m1-head,1,permutation_label_invariant,406,view,0.9348206169946298,-0.3551202810904767
m1-head,1,permutation_label_invariant,539,view,0.9688717069938038,-0.24756335630886972
m1-head,1,permutation_label_invariant,436,view,0.9904592729658932,-0.1378057640154215
m1-head,1,permutation_label_invariant,453,view,0.88204724645586,-0.4711609650847947
m1-head,1,permutation_label_invariant,406,view,0.9371708262354093,-0.34887081054917757
m1-head,1,permutation_label_invariant,539,view,0.9674865483616296,-0.25292247574958626
m1-head,1,permutation_label_invariant,436,view,0.9925879936957087,-0.1215280822325749
m1-head,1,permutation_label_invariant,453,view,0.8842894029433376,-0.46693923784804703
m1-head,1,permutation_label_invariant,406,view,0.9351364452238903,-0.3542877768340669
m1-head,1,permutation_label_invariant,539,view,0.9691743861180183,-0.24637574818305918
m1-head,1,permutation_label_invariant,436,view,0.9911088482885533,-0.13305356381599534
m1-head,1,permutation_label_invariant,453,view,0.8881085780806969,-0.45963371671308306
m1-head,1,permutation_label_invariant,406,view,0.9355256784928355,-0.3532586939914142
m1-head,1,permutation_label_invariant,539,view,0.9692505432456227,-0.24607597285811023
m1-head,1,permutation_label_invariant,436,view,0.9969440143684025,-0.07811934597149608
m1-head,1,permutation_label_invariant,453,view,0.8846623832904882,-0.46623220351107586
m1-head,1,permutation_label_invariant,406,view,0.9364243044318472,-0.35086966535927694
