pair,class_index,delta_ap_mean,delta_ap_std,prior,n_repetitions
with regularizers,218.0,0.001822602945492302,0.006712767673570719,0.25249606,5
with regularizers,219.0,0.0042675309544009275,0.00666292852290132,0.27596638,5
with regularizers,223.0,0.020626114908628118,0.022666783524083706,1e-04,5
with regularizers,225.0,0.15166930694519346,0.29205636674341134,1e-04,5
with regularizers,227.0,0.013963806415344181,0.07674514928760898,1e-04,5
with regularizers,234.0,0.552089386476155,0.24674768083597043,1e-04,5
with regularizers,241.0,0.1292959493698153,0.2700053354418723,1e-04,5
with regularizers,246.0,0.16601289681732562,0.26102464389529767,1e-04,5
with regularizers,247.0,0.06035073381003109,0.07264665903373466,1e-04,5
with regularizers,248.0,0.2386046931013513,0.2308155268968316,1e-04,5
with regularizers,249.0,0.05973620429940476,0.09162944898634068,1e-04,5
with regularizers,263.0,-0.003014533514013129,0.008285475138602203,0.10277769,5
with regularizers,264.0,-0.07544287387180022,0.08823033467719162,1e-04,5
with regularizers,268.0,0.2398141385503653,0.17255519395629726,1e-04,5
with regularizers,281.0,0.015699250809634094,0.021238690014384328,1e-04,5
with regularizers,283.0,0.0008999772601792769,0.0011257415013986166,1e-04,5
with regularizers,288.0,0.17961586949582656,0.33334377561028666,1e-04,5
with regularizers,289.0,0.1444280843648174,0.2861749782535205,1e-04,5
with regularizers,293.0,0.26764416516835715,0.24444785271925853,1e-04,5
with regularizers,294.0,0.03198034941228402,0.11673684373704134,1e-04,5
with regularizers,297.0,0.014606534141691519,0.04262557636647779,1e-04,5
with regularizers,302.0,0.24002605547848735,0.16835587152630888,1e-04,5
with regularizers,303.0,0.026498935206147815,0.07298889225147226,1e-04,5
with regularizers,304.0,0.0025248869833716645,0.0024368005799508315,1e-04,5
with regularizers,305.0,0.006921021117857909,0.009151960822322681,1e-04,5
with regularizers,306.0,-0.02757651288908456,0.049887265682672315,1e-04,5
with regularizers,307.0,0.02077798517353901,0.07514668296352173,1e-04,5
with regularizers,308.0,0.15927980681587223,0.322708499280048,1e-04,5
with regularizers,311.0,0.09976796261456844,0.22217826515270533,1e-04,5
with regularizers,312.0,0.03472102276689878,0.045807275024497766,1e-04,5
with regularizers,321.0,0.11509048878696101,0.17003417187714076,1e-04,5
with regularizers,326.0,-0.03556545284745383,0.070156652988308,0.37284297,5
with regularizers,329.0,0.07584198620099074,0.16365585546062172,1e-04,5
with regularizers,335.0,0.0052267676541418225,0.005849836553943617,0.31097072,5
with regularizers,340.0,-0.04837372371293145,0.054252111116340554,0.42170596,5
with regularizers,357.0,0.027045251186715934,0.008572585558029745,0.023067983,5
with regularizers,372.0,0.4034299628981065,0.22619699426789552,0.4616279,5
with regularizers,387.0,-0.08740983794016914,0.045532123482052676,0.20600244,5
with regularizers,394.0,0.3160958342847179,0.19752748911772744,0.4501386,5
with regularizers,447.0,0.39246209480865246,0.20539364099903856,0.4626114,5
with regularizers,461.0,0.03429266760408767,0.035351950085076106,0.16701934,5
with regularizers,485.0,-0.002979965347234545,0.005165738528526877,1e-04,5
with regularizers,490.0,0.006061911261909603,0.019813594578370997,0.036121957,5
with regularizers,492.0,0.1219308320482209,0.18157850909616252,1e-04,5
with regularizers,493.0,0.0018105008279807766,0.005848445120924707,0.312446,5
with regularizers,496.0,0.09599007243345772,0.09242389687970468,1e-04,5
with regularizers,497.0,0.14287062307718115,0.11316841557042918,1e-04,5
with regularizers,502.0,0.15229692569038114,0.19826962420073907,1e-04,5
with regularizers,506.0,0.03102127881405939,0.0572372617286495,1e-04,5
with regularizers,507.0,0.22238492796858544,0.14913118461119454,1e-04,5
