campaign,variant,repetition,scope,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,hamming_loss,0.30002485707183696
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),average_precision,0.35567641137565514
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),roc_auc,0.5897990621591654
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),macro_f1,0.05432071575439089
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),macro_precision,0.047124365889856114
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),macro_recall,0.10287796924673731
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),micro_f1,0.15798019555064013
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),micro_precision,0.09392122735769999
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),micro_recall,0.49687111020171537
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),hamming_loss,0.3039873091926149
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,average_precision,0.48644382903007916
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,roc_auc,0.7106381439925333
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,macro_f1,0.2731061467809094
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,macro_precision,0.30254987617724755
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,macro_recall,0.3445354093934175
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,micro_f1,0.44378677743163725
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,micro_precision,0.529749607470457
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,micro_recall,0.38182738697956997
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,hamming_loss,0.2576956692566132
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),average_precision,0.34309015668922277
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),roc_auc,0.5488558311931717
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),macro_f1,0.044869496747875624
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),macro_precision,0.04202925696692483
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),macro_recall,0.08185302417546272
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),micro_f1,0.1220989418372655
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),micro_precision,0.07220255404249884
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),micro_recall,0.3952205568912306
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),hamming_loss,0.3261859465553383
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,average_precision,0.4335945157001571
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,roc_auc,0.6705264886618374
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,macro_f1,0.20859237248783044
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,macro_precision,0.2935800434056659
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,macro_recall,0.2709696374331202
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,micro_f1,0.34924321751546883
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,micro_precision,0.48408719058426136
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,micro_recall,0.2731550419917803
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,hamming_loss,0.27407728143818205
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),average_precision,0.35606090095899956
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),roc_auc,0.5583851219464016
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),macro_f1,0.05222405218681338
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),macro_precision,0.0490018824638618
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),macro_recall,0.10543231863730537
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),micro_f1,0.135242614663538
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),micro_precision,0.07860937748931543
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),micro_recall,0.4837672856241581
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),hamming_loss,0.35506614525533303
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,average_precision,0.42140052984848864
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,roc_auc,0.6464244156712035
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,macro_f1,0.2351769099644079
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,macro_precision,0.26057285491651316
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,macro_recall,0.33620225568252143
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,micro_f1,0.4042200209390352
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,micro_precision,0.44017258918862034
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,micro_recall,0.3736970635535172
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,hamming_loss,0.29659297747628555
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),average_precision,0.35621485392751834
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),roc_auc,0.562543668866781
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),macro_f1,0.043450850174367964
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),macro_precision,0.03681635722167782
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),macro_recall,0.09283469670290741
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),micro_f1,0.1254086148842235
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),micro_precision,0.07465038088586418
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),micro_recall,0.39183589953450304
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),hamming_loss,0.3136708023353904
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,average_precision,0.48617680541079195
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,roc_auc,0.7043322376993734
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,macro_f1,0.09707275428041565
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,macro_precision,0.11587023711777684
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,macro_recall,0.1250997813730506
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,micro_f1,0.18638613861386139
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,micro_precision,0.5518909410729991
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,micro_recall,0.11212698790874978
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,hamming_loss,0.26356514557423844
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,0,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),average_precision,0.3388720944653243
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),roc_auc,0.5568191900537401
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),macro_f1,0.03910432634371454
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),macro_precision,0.03363235550697009
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),macro_recall,0.07948992414686701
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),micro_f1,0.11193082920363194
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),micro_precision,0.06619610092279303
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),micro_recall,0.36211570924343955
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),hamming_loss,0.3297892433468188
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,average_precision,0.43840417954824895
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,roc_auc,0.6552838044152052
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,macro_f1,0.10076098105412469
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,macro_precision,0.09330127265393047
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,macro_recall,0.13321436522682517
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,micro_f1,0.19625893644109293
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,micro_precision,0.5516102394715111
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,micro_recall,0.11936386920007147
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,hamming_loss,0.2632283723428993
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,1,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),average_precision,0.37766441090090963
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),roc_auc,0.5806817814449488
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),macro_f1,0.04710177346851437
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),macro_precision,0.042340367205849355
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),macro_recall,0.09038873150960644
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),micro_f1,0.13631215013876608
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),micro_precision,0.081873010698261
kidney-nnpu-masked30__cfg_5c63c9c8e1d1,0004_masked30,2,all classes (508),micro_recall,0.4068068272886934
