campaign,variant,repetition,scope,metryka,wartość
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,micro_recall,0.45476204657811664
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,hamming_loss,0.27021240768805177
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,0,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),average_precision,0.32877680253721653
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),roc_auc,0.5472499011757501
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),macro_f1,0.045969329150686376
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),macro_precision,0.04145594052373211
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),macro_recall,0.08816890921719533
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),micro_f1,0.12436667152890818
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),micro_precision,0.07327843890091469
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),micro_recall,0.41069449417702525
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),hamming_loss,0.3319167738260905
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,average_precision,0.42589021542306854
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,roc_auc,0.6742792441758964
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,macro_f1,0.2241952814221769
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,macro_precision,0.2632285147401099
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,macro_recall,0.3214789532878989
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,micro_f1,0.3880919698009609
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,micro_precision,0.4578171807950773
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,micro_recall,0.33679790338912385
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,hamming_loss,0.28595254704802225
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,1,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),average_precision,0.34229380952429783
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),roc_auc,0.5717506078490144
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),macro_f1,0.052498132846598815
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),macro_precision,0.04552339585229427
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),macro_recall,0.1016963578415753
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),micro_f1,0.15003160443177616
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),micro_precision,0.08882131711610787
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),micro_recall,0.48263338278172796
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),hamming_loss,0.31385527312441647
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,average_precision,0.47212400741891536
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,roc_auc,0.6957225001861193
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,macro_f1,0.23895742028639358
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,macro_precision,0.27501923307632425
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,macro_recall,0.3559817390746883
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,micro_f1,0.44058369427973215
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,micro_precision,0.475456207526993
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,micro_recall,0.41047709809994637
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,hamming_loss,0.28065237785956554
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,2,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),average_precision,0.3301786956532006
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),roc_auc,0.5405183799665804
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),macro_f1,0.048569735762432155
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),macro_precision,0.04721560788449288
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),macro_recall,0.09214257942753479
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),micro_f1,0.13511958050901648
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),micro_precision,0.08007200037894936
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),micro_recall,0.43234948079185637
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),hamming_loss,0.317661634577557
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,average_precision,0.40404804961887625
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,roc_auc,0.6345840048118498
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,macro_f1,0.1775172904004086
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,macro_precision,0.21184034668799379
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,macro_recall,0.2926329170745123
