variant,repetition,class_index,quintile,average_precision
0005,1,387.0,2,0.6142422461723762
0005,1,394.0,4,0.28583224266774676
0005,1,447.0,4,0.29170890998779975
0005,1,461.0,2,0.5847011739916311
0005,1,490.0,1,0.7583978127758566
0005,1,493.0,3,0.6962623005738034
0005,2,24.0,1,0.30895437065560755
0005,2,36.0,2,0.6414226406116511
0005,2,57.0,1,0.19979772873941692
0005,2,82.0,4,0.3364075821773725
0005,2,105.0,1,0.5934937469506805
0005,2,106.0,1,0.3279103519813519
0005,2,124.0,4,0.7494865683982863
0005,2,126.0,0,0.7038256628650317
0005,2,130.0,4,0.9774784733895057
0005,2,135.0,4,0.9999228599287592
0005,2,142.0,4,0.9675578935052606
0005,2,173.0,4,0.8953942025932069
0005,2,175.0,3,0.23885583714055364
0005,2,177.0,0,0.33534442364451444
0005,2,179.0,0,0.00043332936972256364
0005,2,187.0,0,0.1740186090736213
0005,2,214.0,4,0.9719305981315256
0005,2,218.0,3,0.24145334535998947
0005,2,219.0,3,0.23348222063218083
0005,2,263.0,2,0.10764761500714473
0005,2,326.0,4,0.26303050522312
0005,2,335.0,3,0.24279280251611446
0005,2,340.0,4,0.33911774406955675
0005,2,357.0,1,0.5411393861223217
0005,2,372.0,4,0.31895787832837497
0005,2,387.0,2,0.6821022513647484
0005,2,394.0,4,0.3311531160977206
0005,2,447.0,4,0.34858125299469495
0005,2,461.0,2,0.5654690402095338
0005,2,490.0,1,0.9321916535959728
0005,2,493.0,3,0.6831944672230056
0005,3,24.0,1,0.1478994269215691
0005,3,36.0,2,0.5172141177283665
0005,3,57.0,1,0.20848158964858518
0005,3,82.0,4,0.34627794584977284
0005,3,105.0,1,0.5629437332562939
0005,3,106.0,1,0.3625301775582619
0005,3,124.0,4,0.7819249292138725
0005,3,126.0,0,0.5404290052497671
0005,3,130.0,4,0.821522772212661
0005,3,135.0,4,0.8940065357206111
0005,3,142.0,4,0.9047601546599469
0005,3,173.0,4,0.8876853632058166
0005,3,175.0,3,0.25557409729172326
0005,3,177.0,0,0.3750376148629816
0005,3,179.0,0,0.00041654355034636723
0005,3,187.0,0,0.5421768707482992
0005,3,214.0,4,0.9770390242376958
0005,3,218.0,3,0.256440194689886
0005,3,219.0,3,0.2518478510583968
0005,3,263.0,2,0.1174118303224585
0005,3,326.0,4,0.36918954277889865
0005,3,335.0,3,0.2610071581525785
0005,3,340.0,4,0.35802376707286715
0005,3,357.0,1,0.4949584361502521
0005,3,372.0,4,0.33758647152221727
0005,3,387.0,2,0.6467620072087553
0005,3,394.0,4,0.35216664051586
0005,3,447.0,4,0.3665681732525947
0005,3,461.0,2,0.5575242813326747
0005,3,490.0,1,0.9525776800966839
0005,3,493.0,3,0.6712350750515166
0005,4,24.0,1,0.23451937138067075
0005,4,36.0,2,0.639659577885175
0005,4,57.0,1,0.14028380470300814
0005,4,82.0,4,0.3265998637495762
0005,4,105.0,1,0.47860469581278914
0005,4,106.0,1,0.39234512276392264
0005,4,124.0,4,0.37920479289722897
0005,4,126.0,0,0.32475223523767627
0005,4,130.0,4,0.6828814911660591
0005,4,135.0,4,0.6894788789893699
0005,4,142.0,4,0.9688388248585432
0005,4,173.0,4,0.4952096904222033
0005,4,175.0,3,0.24161212159028028
0005,4,177.0,0,0.280170037772897
0005,4,179.0,0,0.00041135917970200065
0005,4,187.0,0,0.09513652783680408
0005,4,214.0,4,0.7787333936669963
0005,4,218.0,3,0.23888292479981063
0005,4,219.0,3,0.23049163688140814
0005,4,263.0,2,0.12390854533394326
0005,4,326.0,4,0.33735087603204844
0005,4,335.0,3,0.23704532027490216
0005,4,340.0,4,0.34678243821422877
0005,4,357.0,1,0.5889278806170837
0005,4,372.0,4,0.24348232490062435
0005,4,387.0,2,0.5719370977743679
0005,4,394.0,4,0.27629671511379533
0005,4,447.0,4,0.27920139967775953
0005,4,461.0,2,0.6540014822983125
0005,4,490.0,1,0.8988121780165509
0005,4,493.0,3,0.6889504822390983
0006,0,24.0,1,0.10831054966390104
0006,0,36.0,2,0.6231252985699133
0006,0,57.0,1,0.22494851672967323
0006,0,82.0,4,0.34745342478255675
0006,0,105.0,1,0.4719415904310193
0006,0,106.0,1,0.3371829142037017
0006,0,124.0,4,0.45596388166764434
0006,0,126.0,0,0.2581996293234856
0006,0,130.0,4,0.8205706490154043
0006,0,135.0,4,0.7942576205515738
0006,0,142.0,4,0.7568063352107461
0006,0,173.0,4,0.5717666534656834
0006,0,175.0,3,0.2546610642969893
0006,0,177.0,0,0.24772975904788963
0006,0,179.0,0,0.00040454322080360765
0006,0,187.0,0,0.0018739840321632811
0006,0,214.0,4,0.7828800750595026
0006,0,218.0,3,0.24925045991813097
0006,0,219.0,3,0.24459872145365585
0006,0,263.0,2,0.07875762983882262
0006,0,326.0,4,0.1859281903273009
0006,0,335.0,3,0.24977686963826579
0006,0,340.0,4,0.17765344320759766
0006,0,357.0,1,0.4005034286864725
0006,0,372.0,4,0.8778536550189917
0006,0,387.0,2,0.6029192542669755
0006,0,394.0,4,0.8179718103667954
0006,0,447.0,4,0.817634142970859
0006,0,461.0,2,0.5473187134913673
0006,0,490.0,1,0.8915467585660342
0006,0,493.0,3,0.6965084512796453
0006,1,24.0,1,0.09983848528713722
0006,1,36.0,2,0.5979835472308873
0006,1,57.0,1,0.22250766063843738
