campaign,variant,repetition,class_index,prior,estimator
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,475,0.306187242269516,-0.9795576930046082
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,477,0.3631865978240967,-1.3028271198272705
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,478,0.042559534311294556,0.02868640050292015
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,479,0.05159002169966698,0.033736780285835266
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,480,0.275429904460907,-0.8323789238929749
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,481,0.17716747522354126,-0.22212591767311096
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,484,0.0075105056166648865,0.0013546196278184652
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,490,0.03612195700407028,-0.013558994978666306
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,491,0.3576878309249878,-1.2495763301849365
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,493,0.3124459981918335,-0.32160770893096924
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,494,0.35138437151908875,-1.1873382329940796
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,498,0.030802013352513313,0.01909199357032776
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,499,0.030802013352513313,0.019170835614204407
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,2,0.3499538004398346,-1.0333689451217651
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,4,0.3715018033981323,-1.0441532135009766
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,5,0.34038686752319336,-1.034677267074585
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,7,0.31155186891555786,-0.9250000715255737
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,9,0.0348702073097229,-0.013782978057861328
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,10,0.19397668540477753,-0.2071494460105896
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,11,0.19960957765579224,-0.23401206731796265
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,12,0.03527255356311798,-0.014529787003993988
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,14,0.00022352696396410465,4.6570381527999416e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,15,0.019759783521294594,0.009432699531316757
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,17,0.19057908654212952,-0.18599551916122437
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,22,0.01198104489594698,0.004545021802186966
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,24,0.013188090175390244,0.005092408508062363
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,29,0.0005364646785892546,6.175736780278385e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,32,0.2130211889743805,-0.11274990439414978
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,33,0.0368819460272789,-0.019336145371198654
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,34,0.0009388132020831108,6.136999581940472e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,36,0.05896640941500664,0.04709039628505707
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,43,0.00599052244797349,0.0016063026851043105
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,55,0.00022352696396410465,4.691275898949243e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,57,0.016540994867682457,0.0050941575318574905
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,58,9.999999747378752e-05,4.8815523769007996e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,62,0.0004917593323625624,7.192975317593664e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,64,0.000670580891892314,6.705534178763628e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,67,0.25187018513679504,-0.6626163125038147
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,72,0.0004023485234938562,5.064195647719316e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,74,0.0003576431190595031,5.733487705583684e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,77,0.00022352696396410465,4.827736847801134e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,82,0.3668077290058136,-1.046401023864746
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,87,9.999999747378752e-05,4.9703237891662866e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,88,0.0004023485234938562,5.858616350451484e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,95,0.0004023485234938562,5.790147770312615e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,97,0.0368819460272789,-0.016297537833452225
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,98,0.00022352696396410465,5.3526229748968035e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,105,0.03522785007953644,-0.014417361468076706
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,106,0.006079932674765587,0.0013983814278617501
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,107,0.005677584558725357,-0.00015022733714431524
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,110,0.001341161783784628,0.00010328231292078272
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,113,0.34119153022766113,-0.9927647113800049
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,119,0.0002682323392946273,5.4554318921873346e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,121,0.00017882155952975154,5.0773909606505185e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,122,0.0004470539279282093,6.427815969800577e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,124,0.38741692900657654,-0.9051468372344971
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,126,0.0008941078558564186,7.21981268725358e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,130,0.4158048629760742,-0.9295645952224731
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,135,0.4206777513027191,-1.1715024709701538
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,138,0.00017882155952975154,5.021605466026813e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,140,0.0004470539279282093,5.378481364459731e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,142,0.46860188245773315,-1.5629585981369019
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,143,9.999999747378752e-05,4.3632291635731235e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,145,0.0025035019498318434,0.0003089769743382931
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,148,0.03683724254369736,0.01700534112751484
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,154,0.0004023485234938562,5.6343244068557397e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,157,0.0002682323392946273,5.890597458346747e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,173,0.4016779065132141,-1.0206849575042725
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,175,0.30985307693481445,-0.9479612112045288
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,177,0.0035764314234256744,0.0005433461628854275
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,178,0.0004023485234938562,6.83207981637679e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,179,0.0007152862381190062,6.134368595667183e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,182,0.12817035615444183,0.008458226919174194
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,184,0.0004470539279282093,6.288137956289575e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,187,0.00013411616964731365,5.69129733776208e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,189,0.0004917593323625624,5.19574896316044e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,192,0.0002682323392946273,4.650692790164612e-05
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,194,0.29711201786994934,-0.9013262987136841
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,197,0.3012249171733856,-0.775169849395752
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,199,0.3719935417175293,-1.1048799753189087
