variant,order,source_id,kind,sphere_a,sphere_b
m0-reconstruction,0,436,perturbed,0.9908992937914787,-0.13460531030961925
m0-reconstruction,0,453,perturbed,0.8872363235819976,-0.4613151917254633
m0-reconstruction,0,406,perturbed,0.9443903202025714,-0.3288265851595408
m0-reconstruction,0,539,perturbed,0.9716293405319039,-0.2365088256652115
m0-reconstruction,0,436,perturbed,0.9911496158462989,-0.13274953486824048
m0-reconstruction,0,453,perturbed,0.8899636387171185,-0.45603149207196886
m0-reconstruction,0,406,perturbed,0.9432239531897033,-0.3321574538215097
m0-reconstruction,0,539,perturbed,0.9700599191277981,-0.2428657104281493
m0-reconstruction,0,436,perturbed,0.9915667439872929,-0.1295970378459258
m0-reconstruction,0,453,perturbed,0.9008535876192029,-0.4341230397866612
m0-reconstruction,0,406,perturbed,0.9370866652775508,-0.3490968085775054
m0-reconstruction,0,539,perturbed,0.9707763474339123,-0.23998600638968942
m0-reconstruction,0,436,perturbed,0.9903913396684378,-0.13829314628627476
m0-reconstruction,0,453,perturbed,0.8801383247657624,-0.474717315123977
m0-reconstruction,0,406,perturbed,0.9559687089487552,-0.29346861418361275
m0-reconstruction,0,539,perturbed,0.9641668094034055,-0.26529674638950435
m0-reconstruction,0,436,perturbed,0.9921007672778277,-0.12544348355632304
m0-reconstruction,0,453,perturbed,0.8778557369130263,-0.4789251561245112
m0-reconstruction,0,406,perturbed,0.9296411623680872,-0.36846615751098727
m0-reconstruction,0,539,perturbed,0.9631069260896232,-0.2691190237017762
m0-reconstruction,0,436,perturbed,0.9925701511728742,-0.12167372354234
m0-reconstruction,0,453,perturbed,0.8789800339237588,-0.47685857438383966
m0-reconstruction,0,406,perturbed,0.9285024438404366,-0.37132628749165714
m0-reconstruction,0,539,perturbed,0.9661272559706559,-0.2580661257713046
m0-reconstruction,0,436,perturbed,0.9949391628132028,-0.10047916351444781
m0-reconstruction,0,453,perturbed,0.8806293399820954,-0.4738058310771396
m0-reconstruction,0,406,perturbed,0.9408968666410285,-0.33869320386611673
m0-reconstruction,0,539,perturbed,0.9675338914932552,-0.25274130808381473
m0-reconstruction,0,436,perturbed,0.9948776877563118,-0.10108603466678594
m0-reconstruction,0,453,perturbed,0.8853989872647954,-0.46483183340911
m0-reconstruction,0,406,perturbed,0.9365005142432029,-0.3506662042772537
m0-reconstruction,0,539,perturbed,0.9724449908276012,-0.2331324512252778
m0-reconstruction,0,436,perturbed,0.9961518832719851,-0.08764374166862834
m0-reconstruction,0,453,perturbed,0.8927764185474092,-0.450500018297071
m0-reconstruction,0,406,perturbed,0.931131476326191,-0.36468366263737134
m0-reconstruction,0,539,perturbed,0.9741079099538481,-0.2260835681011469
m0-reconstruction,0,436,perturbed,0.9858089081087755,-0.16787136948682999
m0-reconstruction,0,453,perturbed,0.8955913033658099,-0.444877755496417
m0-reconstruction,0,406,perturbed,0.9342656158299257,-0.35657784434528406
m0-reconstruction,0,539,perturbed,0.9778599112358627,-0.20926058873517228
m0-reconstruction,0,436,perturbed,0.9896504054473481,-0.14349939023528815
m0-reconstruction,0,453,perturbed,0.901676277710344,-0.4324117137803031
m0-reconstruction,0,406,perturbed,0.9237557567471154,-0.38298211691482936
m0-reconstruction,0,539,perturbed,0.9778787978378733,-0.2091723135100718
m0-reconstruction,0,436,perturbed,0.9840268231438372,-0.1780202554021524
m0-reconstruction,0,453,perturbed,0.8850409227068113,-0.4655132276684262
m0-reconstruction,0,406,perturbed,0.9395903570691716,-0.34230097999074816
m0-reconstruction,0,539,perturbed,0.9716727331558194,-0.23633048817598595
m0-reconstruction,0,436,perturbed,0.993232733342066,-0.11614102383675029
m0-reconstruction,0,453,perturbed,0.8909154506305054,-0.4541691973569361
m0-reconstruction,0,406,perturbed,0.9288284224059188,-0.37051013715002756
m0-reconstruction,0,539,perturbed,0.9717830544500388,-0.23587644028972704
m0-reconstruction,0,436,perturbed,0.9858122950069934,-0.16785147903144762
m0-reconstruction,0,453,perturbed,0.8902926939041763,-0.45538875609839635
m0-reconstruction,0,406,perturbed,0.9471923835240159,-0.3206658519301574
m0-reconstruction,0,539,perturbed,0.9634710894028097,-0.26781235947013937
m0-reconstruction,0,436,perturbed,0.9908668374314826,-0.13484402277643515
m0-reconstruction,0,453,perturbed,0.8985096029386292,-0.43895386252665186
m0-reconstruction,0,406,perturbed,0.9347276524179502,-0.35536490514009356
m0-reconstruction,0,539,perturbed,0.9608168730541925,-0.27718393974825417
m0-reconstruction,0,436,perturbed,0.9893202700529338,-0.14575802983846284
m0-reconstruction,0,453,perturbed,0.8936786596531813,-0.4487075364650045
m0-reconstruction,0,406,perturbed,0.9427046339200098,-0.33362849576398634
m0-reconstruction,0,539,perturbed,0.9735162478802051,-0.22861783638475594
m0-reconstruction,0,436,perturbed,0.9896734617393933,-0.1433402913655666
m0-reconstruction,0,453,perturbed,0.8919231810734402,-0.45218695145242205
m0-reconstruction,0,406,perturbed,0.9370211071284029,-0.349272736977655
m0-reconstruction,0,539,perturbed,0.9696401238864173,-0.2445363575207853
m0-reconstruction,0,436,perturbed,0.9916023516023862,-0.1293243066736398
m0-reconstruction,0,453,perturbed,0.8899602859768757,-0.45603803501896406
m0-reconstruction,0,406,perturbed,0.9344749827310826,-0.3560288003093891
m0-reconstruction,0,539,perturbed,0.9670166920367672,-0.2547130097232335
m0-reconstruction,0,436,perturbed,0.997108906980003,-0.07598570668977161
m0-reconstruction,0,453,perturbed,0.8765244440987616,-0.48135735051763456
m0-reconstruction,0,406,perturbed,0.9499386127232542,-0.312436604861561
m0-reconstruction,0,539,perturbed,0.9764962594247387,-0.21553434837513377
m0-reconstruction,0,436,perturbed,0.9965512056830089,-0.08298008466940188
m0-reconstruction,0,453,perturbed,0.8804464034692576,-0.47414568501468957
m0-reconstruction,0,406,perturbed,0.9259709278487175,-0.37759481031786585
m0-reconstruction,0,539,perturbed,0.9651088561070574,-0.26184899439128456
m0-reconstruction,0,436,perturbed,0.9929038160024991,-0.11892019243036647
m0-reconstruction,0,453,perturbed,0.8780463676070289,-0.4785755701371542
m0-reconstruction,0,406,perturbed,0.9407036460786576,-0.3392294949651629
